kcolorpicker 0.2.0-1
kcompletion 5.99.0-1
kconfig 5.99.0-1
kconfigwidgets 5.99.0-1
kcontacts 1:5.99.0-1
kcoreaddons 5.99.0-1
kcrash 5.99.0-1
kcron 22.08.2-1
kdav 1:5.99.0-1
kdbusaddons 5.99.0-1
kde-cli-tools 5.26.0-1
kde-dev-scripts 22.08.2-1
kde-dev-utils 22.08.2-1
kde-gtk-config 5.26.0-1
kdebugsettings 22.08.2-1
kdeclarative 5.99.0-1
kdeconnect 22.08.2-1
kdecoration 5.26.0-1
kded 5.99.0-1
kdeedu-data 22.08.2-1
kdegraphics-mobipocket 22.08.2-1
kdegraphics-thumbnailers 22.08.2-1
kdelibs4support 5.99.0-1
kdenetwork-filesharing 22.08.2-1
kdenlive 22.08.2-1
kdepim-addons 22.08.2-1
kdepim-runtime 22.08.2-1
kdeplasma-addons 5.26.0-1
kdesdk-kio 22.08.2-1
kdesdk-thumbnailers 22.08.2-1
kdesu 5.99.0-1
kdevelop 22.08.2-1
kdevelop-php 22.08.2-1
kdf 22.08.2-1
kdiagram 2.8.0-1
kdialog 22.08.2-1
kdiamond 22.08.2-1
kdiff3 1.9.6-1
kdiskmark 3.1.2-1
kdnssd 5.99.0-1
kdoctools 5.99.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 22.08.2-1
keepass 2.51-1
keepass-plugin-keeagent 0.12.1-2
keepassxc 2.7.1-1
kemoticons 5.99.0-1
kexec-tools 2.0.25-1
keyutils 1.6.3-1
kfilemetadata 5.99.0-1
kfind 22.08.2-1
kfloppy 22.08.2-1
kfourinline 22.08.2-1
kgamma5 5.26.0-1
kgeography 22.08.2-1
kget 22.08.2-1
kglobalaccel 5.99.0-1
kgoldrunner 22.08.2-1
kgpg 22.08.2-1
kguiaddons 5.99.0-1
khangman 22.08.2-1
khealthcertificate 22.09-1
khelpcenter 22.08.2-1
kholidays 1:5.99.0-1
khotkeys 5.26.0-1
khtml 5.99.0-1
ki18n 5.99.0-1
kicad-library 6.0.8-1
kiconthemes 5.99.0-1
kidentitymanagement 22.08.2-1
kidletime 5.99.0-1
kig 22.08.2-1
kigo 22.08.2-1
killbots 22.08.2-1
kimageannotator 0.6.0-1
kimageformats 5.99.0-2
kimagemapeditor 22.08.2-1
kimap 22.08.2-1
kindd 2.1.0-3
kinfocenter 5.26.0-1
kinit 5.99.0-1
kio 5.99.0-1
